id;name;sku;description;has_discount;price
3090a85f-db9c-465e-bc55-cb21cecea3b7;withdrawal THX Division;Metal;models partnerships Infrastructure;true;85179
d48a4730-9b82-4587-a4b0-0231c219bf63;Security;mobile Vermont auxiliary;COM Implementation Awesome;true;27331
7a72ad2f-2322-47e7-8134-eb9049cda2c5;multi-byte Underpass project;Computer Arizona mobile;AGP lavender;true;77577
53675d0e-9690-414e-811f-01a2468fc20e;Ukraine;Chicken Account transmit;clicks-and-mortar;false;88593
de880f12-43a1-44e5-8d16-ef048ebc7c99;Vista;Sausages Tuna;system Practical;false;29142
54cfd177-4b3f-4afc-a895-a23d52cdca35;Sausages;Computers Man;Electronics;false;45868
f44d92c6-5985-4652-aa23-798b99aff471;Specialist;Keyboard;Producer;true;79312
2f4086ec-1e48-478f-adfa-0335fa46fd58;methodologies Future;transmitting Account;bluetooth;false;56130
de238c69-674a-4909-a414-a49c120e4d9a;Malta matrix Unbranded;forecast Credit;Rhode aggregate indexing;false;17151
13e5df3f-c0a6-433c-bf36-11d844dd7aaa;maximize Chicken;Concrete blue;modular;true;78135
